team_number,week,manager_name,player_key,player_id,first_name,last_name,full_name,roster_position,team_abbr,display_position,primary_position,injury_status
5,3,Lee,449.p.31017,31017,Christian,Kirk,Christian Kirk,BN,Hou,WR,WR,Q
5,3,Lee,449.p.40042,40042,Jordan,Addison,Jordan Addison,BN,Min,WR,WR,
5,3,Lee,449.p.30120,30120,Mike,Williams,Mike Williams,BN,Pit,WR,WR,
5,3,Lee,449.p.32736,32736,Antonio,Gibson,Antonio Gibson,BN,NE,RB,RB,
5,3,Lee,449.p.40222,40222,DeMario,Douglas,DeMario Douglas,BN,NE,WR,WR,
5,3,Lee,449.p.9265,9265,Matthew,Stafford,Matthew Stafford,BN,LAR,QB,QB,
5,3,Lee,449.p.100018,100018,New Orleans,,New Orleans,BN,NO,DEF,DEF,
5,3,Lee,449.p.100033,100033,Baltimore,,Baltimore,DEF,Bal,DEF,DEF,
5,3,Lee,449.p.33537,33537,Evan,McPherson,Evan McPherson,K,Cin,K,K,Q
5,3,Lee,449.p.40040,40040,Anthony,Richardson Sr.,Anthony Richardson Sr.,QB,Ind,QB,QB,Q
5,3,Lee,449.p.29279,29279,Derrick,Henry,Derrick Henry,RB,Bal,RB,RB,
5,3,Lee,449.p.34047,34047,Rachaad,White,Rachaad White,RB,TB,RB,RB,
5,3,Lee,449.p.40118,40118,De'Von,Achane,De'Von Achane,W/R/T,Mia,RB,RB,
5,3,Lee,449.p.32704,32704,Michael,Pittman Jr.,Michael Pittman Jr.,W/R/T,Ind,WR,WR,Q
5,3,Lee,449.p.33963,33963,Drake,London,Drake London,WR,Atl,WR,WR,
5,3,Lee,449.p.28392,28392,Amari,Cooper,Amari Cooper,WR,Buf,WR,WR,
6,3,Todd,449.p.33392,33392,Kyle,Pitts Sr.,Kyle Pitts Sr.,BN,Atl,TE,W/R/T,
6,3,Todd,449.p.27548,27548,Brandin,Cooks,Brandin Cooks,BN,NO,WR,WR,
6,3,Todd,449.p.40993,40993,Bucky,Irving,Bucky Irving,BN,TB,RB,RB,
6,3,Todd,449.p.30614,30614,Taysom,Hill,Taysom Hill,BN,NO,"QB,TE",QB,Q
6,3,Todd,449.p.27564,27564,Derek,Carr,Derek Carr,BN,NO,QB,QB,
6,3,Todd,449.p.34088,34088,Romeo,Doubs,Romeo Doubs,BN,GB,WR,WR,Q
6,3,Todd,449.p.100020,100020,New York,,New York,BN,NYJ,DEF,DEF,
6,3,Todd,449.p.100016,100016,Minnesota,,Minnesota,DEF,Min,DEF,DEF,
6,3,Todd,449.p.32858,32858,Tyler,Bass,Tyler Bass,K,Buf,K,K,
6,3,Todd,449.p.31833,31833,Kyler,Murray,Kyler Murray,QB,Ari,QB,QB,
6,3,Todd,449.p.33991,33991,Breece,Hall,Breece Hall,RB,NYJ,RB,RB,
6,3,Todd,449.p.34447,34447,Jaylen,Warren,Jaylen Warren,RB,Pit,RB,RB,
6,3,Todd,449.p.31056,31056,Mark,Andrews,Mark Andrews,W/R/T,Bal,TE,W/R/T,
6,3,Todd,449.p.40883,40883,Brian,Thomas Jr.,Brian Thomas Jr.,W/R/T,Jax,WR,WR,
6,3,Todd,449.p.33966,33966,Chris,Olave,Chris Olave,WR,NO,WR,WR,Q
6,3,Todd,449.p.30994,30994,DJ,Moore,DJ Moore,WR,Chi,WR,WR,
7,3,Jared,449.p.33412,33412,Najee,Harris,Najee Harris,BN,LAC,RB,RB,
7,3,Jared,449.p.40168,40168,Puka,Nacua,Puka Nacua,BN,LAR,WR,WR,
7,3,Jared,449.p.28654,28654,Raheem,Mostert,Raheem Mostert,BN,LV,RB,RB,
7,3,Jared,449.p.33538,33538,Kenneth,Gainwell,Kenneth Gainwell,BN,Pit,RB,RB,
7,3,Jared,449.p.40707,40707,Emanuel,Wilson,Emanuel Wilson,BN,GB,RB,RB,
7,3,Jared,449.p.30971,30971,Baker,Mayfield,Baker Mayfield,BN,TB,QB,QB,
7,3,Jared,449.p.30199,30199,Kareem,Hunt,Kareem Hunt,BN,KC,RB,RB,
7,3,Jared,449.p.100026,100026,Seattle,,Seattle,DEF,Sea,DEF,DEF,
7,3,Jared,449.p.31005,31005,Nick,Chubb,Nick Chubb,IR,Hou,RB,RB,Q
7,3,Jared,449.p.40819,40819,Brandon,Aubrey,Brandon Aubrey,K,Dal,K,K,Q
7,3,Jared,449.p.30123,30123,Patrick,Mahomes,Patrick Mahomes,QB,KC,QB,QB,
7,3,Jared,449.p.30972,30972,Saquon,Barkley,Saquon Barkley,RB,Phi,RB,RB,
7,3,Jared,449.p.34078,34078,Zamir,White,Zamir White,RB,LV,RB,RB,Q
7,3,Jared,449.p.31856,31856,Josh,Jacobs,Josh Jacobs,W/R/T,GB,RB,RB,
7,3,Jared,449.p.41464,41464,Carson,Steele,Carson Steele,W/R/T,KC,RB,RB,
7,3,Jared,449.p.33477,33477,Nico,Collins,Nico Collins,WR,Hou,WR,WR,
7,3,Jared,449.p.40877,40877,Xavier,Worthy,Xavier Worthy,WR,KC,WR,WR,
8,3,Gil Townes,449.p.26686,26686,Travis,Kelce,Travis Kelce,BN,KC,TE,W/R/T,
8,3,Gil Townes,449.p.31898,31898,Diontae,Johnson,Diontae Johnson,BN,Cle,WR,WR,
8,3,Gil Townes,449.p.34104,34104,Khalil,Shakir,Khalil Shakir,BN,Buf,WR,WR,
8,3,Gil Townes,449.p.40896,40896,Jayden,Daniels,Jayden Daniels,BN,Was,QB,QB,
8,3,Gil Townes,449.p.27277,27277,Adam,Thielen,Adam Thielen,BN,Car,WR,WR,
8,3,Gil Townes,449.p.40890,40890,Xavier,Legette,Xavier Legette,BN,Car,WR,WR,Q
8,3,Gil Townes,449.p.33415,33415,Rashod,Bateman,Rashod Bateman,BN,Bal,WR,WR,Q
8,3,Gil Townes,449.p.100015,100015,Miami,,Miami,DEF,Mia,DEF,DEF,
8,3,Gil Townes,449.p.30266,30266,Jake,Elliott,Jake Elliott,K,Phi,K,K,
8,3,Gil Townes,449.p.34218,34218,Brock,Purdy,Brock Purdy,QB,SF,QB,QB,
8,3,Gil Townes,449.p.34019,34019,James,Cook,James Cook,RB,Buf,RB,RB,
8,3,Gil Townes,449.p.31905,31905,David,Montgomery,David Montgomery,RB,Det,RB,RB,
8,3,Gil Townes,449.p.31960,31960,Tony,Pollard,Tony Pollard,W/R/T,Ten,RB,RB,
8,3,Gil Townes,449.p.40075,40075,Zach,Charbonnet,Zach Charbonnet,W/R/T,Sea,RB,RB,
8,3,Gil Townes,449.p.32692,32692,Justin,Jefferson,Justin Jefferson,WR,Min,WR,WR,
8,3,Gil Townes,449.p.40097,40097,Tank,Dell,Tank Dell,WR,Hou,WR,WR,Q
9,3,Gabe,449.p.34007,34007,George,Pickens,George Pickens,BN,Dal,WR,WR,
9,3,Gabe,449.p.40064,40064,Sam,LaPorta,Sam LaPorta,BN,Det,TE,W/R/T,
9,3,Gabe,449.p.30423,30423,Austin,Ekeler,Austin Ekeler,BN,Was,RB,RB,
9,3,Gabe,449.p.32798,32798,Gabe,Davis,Gabe Davis,BN,Jax,WR,WR,
9,3,Gabe,449.p.32231,32231,Jakobi,Meyers,Jakobi Meyers,BN,LV,WR,WR,
9,3,Gabe,449.p.30227,30227,Samaje,Perine,Samaje Perine,BN,Cin,RB,RB,
9,3,Gabe,449.p.100024,100024,Los Angeles,,Los Angeles,BN,LAC,DEF,DEF,
9,3,Gabe,449.p.100002,100002,Buffalo,,Buffalo,DEF,Buf,DEF,DEF,
9,3,Gabe,449.p.30121,30121,Christian,McCaffrey,Christian McCaffrey,IR,SF,RB,RB,Q
9,3,Gabe,449.p.29792,29792,Ka'imi,Fairbairn,Ka'imi Fairbairn,K,Hou,K,K,
9,3,Gabe,449.p.30977,30977,Josh,Allen,Josh Allen,QB,Buf,QB,QB,
9,3,Gabe,449.p.30218,30218,James,Conner,James Conner,RB,Ari,RB,RB,Q
9,3,Gabe,449.p.34320,34320,Jordan,Mason,Jordan Mason,RB,Min,RB,RB,Q
9,3,Gabe,449.p.40878,40878,Brock,Bowers,Brock Bowers,W/R/T,LV,TE,W/R/T,
9,3,Gabe,449.p.31906,31906,Devin,Singletary,Devin Singletary,W/R/T,NYG,RB,RB,
9,3,Gabe,449.p.33965,33965,Garrett,Wilson,Garrett Wilson,WR,NYJ,WR,WR,
9,3,Gabe,449.p.40039,40039,Zay,Flowers,Zay Flowers,WR,Bal,WR,WR,Q
10,3,david,449.p.33998,33998,Wan'Dale,Robinson,Wan'Dale Robinson,BN,NYG,WR,WR,
10,3,david,449.p.40908,40908,Ladd,McConkey,Ladd McConkey,BN,LAC,WR,WR,
10,3,david,449.p.31883,31883,A.J.,Brown,A.J. Brown,BN,Phi,WR,WR,
10,3,david,449.p.30182,30182,Cooper,Kupp,Cooper Kupp,BN,Sea,WR,WR,
10,3,david,449.p.33514,33514,Chuba,Hubbard,Chuba Hubbard,BN,Car,RB,RB,Q
10,3,david,449.p.40915,40915,Adonai,Mitchell,Adonai Mitchell,BN,Ind,WR,WR,
10,3,david,449.p.32523,32523,Greg,Dortch,Greg Dortch,BN,Ari,WR,WR,
10,3,david,449.p.100027,100027,Tampa Bay,,Tampa Bay,DEF,TB,DEF,DEF,
10,3,david,449.p.40641,40641,Keaton,Mitchell,Keaton Mitchell,IR,Bal,RB,RB,
10,3,david,449.p.40296,40296,Blake,Grupe,Blake Grupe,K,NO,K,K,
10,3,david,449.p.32723,32723,Jalen,Hurts,Jalen Hurts,QB,Phi,QB,QB,
10,3,david,449.p.33423,33423,Javonte,Williams,Javonte Williams,RB,Dal,RB,RB,
10,3,david,449.p.32705,32705,D'Andre,Swift,D'Andre Swift,RB,Chi,RB,RB,
10,3,david,449.p.28534,28534,Stefon,Diggs,Stefon Diggs,W/R/T,NE,WR,WR,Q
10,3,david,449.p.32722,32722,Cam,Akers,Cam Akers,W/R/T,NO,RB,RB,
10,3,david,449.p.32685,32685,Jerry,Jeudy,Jerry Jeudy,WR,Cle,WR,WR,
10,3,david,449.p.40126,40126,Josh,Downs,Josh Downs,WR,Ind,WR,WR,
11,3,Winston C,449.p.30259,30259,George,Kittle,George Kittle,BN,SF,TE,W/R/T,
11,3,Winston C,449.p.34010,34010,Trey,McBride,Trey McBride,BN,Ari,TE,W/R/T,
11,3,Winston C,449.p.25812,25812,Kirk,Cousins,Kirk Cousins,BN,Atl,QB,QB,
11,3,Winston C,449.p.40121,40121,Michael,Wilson,Michael Wilson,BN,Ari,WR,WR,Q
11,3,Winston C,449.p.40981,40981,Braelon,Allen,Braelon Allen,BN,NYJ,RB,RB,
11,3,Winston C,449.p.40090,40090,Marvin,Mims Jr.,Marvin Mims Jr.,BN,Den,WR,WR,
11,3,Winston C,449.p.34008,34008,Alec,Pierce,Alec Pierce,BN,Ind,WR,WR,
11,3,Winston C,449.p.100025,100025,San Francisco,,San Francisco,DEF,SF,DEF,DEF,
11,3,Winston C,449.p.26534,26534,Justin,Tucker,Justin Tucker,K,Bal,K,K,
11,3,Winston C,449.p.33389,33389,Trevor,Lawrence,Trevor Lawrence,QB,Jax,QB,QB,Q
11,3,Winston C,449.p.33508,33508,Rhamondre,Stevenson,Rhamondre Stevenson,RB,NE,RB,RB,
11,3,Winston C,449.p.34054,34054,Brian,Robinson Jr.,Brian Robinson Jr.,RB,Was,RB,RB,
11,3,Winston C,449.p.33398,33398,DeVonta,Smith,DeVonta Smith,W/R/T,Phi,WR,WR,
11,3,Winston C,449.p.34659,34659,Rashid,Shaheed,Rashid Shaheed,W/R/T,NO,WR,WR,Q
11,3,Winston C,449.p.33500,33500,Amon-Ra,St. Brown,Amon-Ra St. Brown,WR,Det,WR,WR,
11,3,Winston C,449.p.27581,27581,Davante,Adams,Davante Adams,WR,LAR,WR,WR,
12,3,Hayden Courtney,449.p.26699,26699,Keenan,Allen,Keenan Allen,BN,LAC,WR,WR,
12,3,Hayden Courtney,449.p.31868,31868,Deebo,Samuel,Deebo Samuel,BN,Was,WR,WR,
12,3,Hayden Courtney,449.p.30153,30153,Curtis,Samuel,Curtis Samuel,BN,Buf,WR,WR,
12,3,Hayden Courtney,449.p.40958,40958,Trey,Benson,Trey Benson,BN,Ari,RB,RB,Q
12,3,Hayden Courtney,449.p.33100,33100,Rico,Dowdle,Rico Dowdle,BN,Car,RB,RB,
12,3,Hayden Courtney,449.p.40201,40201,Dontayvion,Wicks,Dontayvion Wicks,BN,GB,WR,WR,
12,3,Hayden Courtney,449.p.32843,32843,Darnell,Mooney,Darnell Mooney,BN,Atl,WR,WR,Q
